title,artist,link
Untitled - Woman with Bun (1963),Iona Murray,https://collections.ed.ac.uk/art/./record/99401?highlight=*:*
"fig.1 Destination, fig 2 Time - 10.35 pm (1984)",Andrew Binnie,https://collections.ed.ac.uk/art/./record/99466?highlight=*:*
Untitled - Abstract Landscape with Black (1965-1966),Laura McPherson,https://collections.ed.ac.uk/art/./record/99392?highlight=*:*
Untitled - Abstract Road (1965),Laura McPherson,https://collections.ed.ac.uk/art/./record/99393?highlight=*:*
Untitled - Abstract Collage with Spheres (1988-1990),Arlene Isbister,https://collections.ed.ac.uk/art/./record/99471?highlight=*:*
Demon on Calton Hill II (2018),Paul Furneaux,https://collections.ed.ac.uk/art/./record/99226?highlight=*:*
Untitled - City Scene at Night (1964-1965),William Gillon,https://collections.ed.ac.uk/art/./record/99483?highlight=*:*
Untitled - City Highrise (Feb 1962),William Gillon,https://collections.ed.ac.uk/art/./record/99482?highlight=*:*
Unknown (2018),Unknown,https://collections.ed.ac.uk/art/./record/99491?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall,https://collections.ed.ac.uk/art/./record/99486?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall,https://collections.ed.ac.uk/art/./record/99487?highlight=*:*
October Landscape (OCT 1950),William Gear,https://collections.ed.ac.uk/art/./record/20031?highlight=*:*
The Race (2019),Willie Rodger,https://collections.ed.ac.uk/art/./record/20027?highlight=*:*
Salmon Abstract (2019),James H. Fairgrieve,https://collections.ed.ac.uk/art/./record/22595?highlight=*:*
Abstract (1967),Eileen E M Lawrence,https://collections.ed.ac.uk/art/./record/22614?highlight=*:*
Abstract Composition in Yellow and Blue (Circa 1976),Gordon MacDonald,https://collections.ed.ac.uk/art/./record/22556?highlight=*:*
Autumn (1972),William Johnstone,https://collections.ed.ac.uk/art/./record/498?highlight=*:*
Landscape (Circa 1988),Arlene Isbister,https://collections.ed.ac.uk/art/./record/22604?highlight=*:*
Untitled (1972),Brent D. Millar,https://collections.ed.ac.uk/art/./record/22572?highlight=*:*
Composition with Red Sprouting Beans (Circa 1975),Andrew J. Neil,https://collections.ed.ac.uk/art/./record/22643?highlight=*:*
Bull With Cows (2019),William Johnstone,https://collections.ed.ac.uk/art/./record/593?highlight=*:*
Saturday (2019),Willie Rodger,https://collections.ed.ac.uk/art/./record/20006?highlight=*:*
The Dam Burn (1982),Duncan Shanks,https://collections.ed.ac.uk/art/./record/649?highlight=*:*
Red/Green Structure (1988),William Gear,https://collections.ed.ac.uk/art/./record/20258?highlight=*:*
Figure Study in Red (1975),William Johnstone,https://collections.ed.ac.uk/art/./record/494?highlight=*:*
Phalanx (1967),Willie Rodger,https://collections.ed.ac.uk/art/./record/600?highlight=*:*
Composition (2019),William Johnstone,https://collections.ed.ac.uk/art/./record/371?highlight=*:*
Untitled - Abstract Figures and Shapes (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/./record/99449?highlight=*:*
